label,basin,period,training_noise,seed,inference_noise_seed,baseline_noise,inference_noise,clean_test_nse,noisy_test_nse,drift_test_nse,clean_validation_nse,noisy_validation_nse,drift_validation_nse,clean_test_kge,noisy_test_kge,drift_test_kge,clean_test_rmse_mm_day,noisy_test_rmse_mm_day,drift_test_rmse_mm_day,clean_physics_error,noisy_physics_error,drift_physics_error
learned · fourier→pinnmamba · joint baseline,4009,late,0.0,42,300049,0.0,0.0,0.40013121533774976,0.40013121533774976,0.0,0.6561369980927033,0.6561369980927033,0.0,0.6637917452348463,0.6637917452348463,0.0,0.26452836826471887,0.26452836826471887,0.0,1.9041017293930054,1.9041017293930054,0.0
learned · fourier→pinnmamba · joint baseline,4009,late,0.0,42,300049,0.0,0.1,0.40013121533774976,0.28328700014028807,0.11684421519746169,0.6561369980927033,0.6531533096011697,0.0029836884915336315,0.6637917452348463,0.6113390036429167,0.052452741591929586,0.26452836826471887,0.28914571612761203,9.306127741376336,1.9041017293930054,1.911944031715393,0.411863620589625
learned · fourier→pinnmamba · joint baseline,4009,late,0.0,42,300049,0.0,0.25,0.40013121533774976,0.15724105319056758,0.24289016214718218,0.6561369980927033,0.6514805144124958,0.004656483680207546,0.6637917452348463,0.5499604560777933,0.11383128915705298,0.26452836826471887,0.3135420599405696,18.52870903690819,1.9041017293930054,1.9629862308502197,3.092508165306153
learned · fourier→pinnmamba · joint baseline,4008,late,0.0,42,300049,0.0,0.0,-0.9590252264955303,-0.9590252264955303,0.0,0.4763345188828918,0.4763345188828918,0.0,0.06631992319130409,0.06631992319130409,0.0,0.4944204514375236,0.4944204514375236,0.0,1.8734581470489502,1.8734581470489502,0.0
learned · fourier→pinnmamba · joint baseline,4008,late,0.0,42,300049,0.0,0.1,-0.9590252264955303,-1.055737901779108,0.09671267528357763,0.4763345188828918,0.4562081102610863,0.02012640862180548,0.06631992319130409,0.04720730175883758,0.019112621432466503,0.4944204514375236,0.5064776484525826,2.438652563825539,1.8734581470489502,1.9592063426971436,4.577000867794294
learned · fourier→pinnmamba · joint baseline,4008,late,0.0,42,300049,0.0,0.25,-0.9590252264955303,-1.3214041145718496,0.36237888807631924,0.4763345188828918,0.462163981124737,0.0141705377581548,0.06631992319130409,-0.007471080864832835,0.07379100405613692,0.4944204514375236,0.538210030697957,8.856749176356997,1.8734581470489502,2.1298015117645264,13.68289786026794
learned · fourier→pinnmamba · joint baseline,2488,late,0.0,42,300049,0.0,0.0,0.28511875806962617,0.28511875806962617,0.0,0.5017692908707674,0.5017692908707674,0.0,0.6371151454881867,0.6371151454881867,0.0,0.8873035584429826,0.8873035584429826,0.0,0.4010210931301117,0.4010210931301117,0.0
learned · fourier→pinnmamba · joint baseline,2488,late,0.0,42,300049,0.0,0.1,0.28511875806962617,0.20396129005899066,0.0811574680106355,0.5017692908707674,0.43577462373066433,0.06599466714010305,0.6371151454881867,0.6161529490348331,0.02096219645335362,0.8873035584429826,0.9363158302307091,5.523732134437955,0.4010210931301117,0.43255484104156494,7.8633639106913735
learned · fourier→pinnmamba · joint baseline,2488,late,0.0,42,300049,0.0,0.25,0.28511875806962617,-0.014481545217226666,0.29960030328685283,0.5017692908707674,0.24864055446524025,0.25312873640552713,0.6371151454881867,0.5409398787112956,0.09617526677689114,0.8873035584429826,1.057005745418869,19.125606491838653,0.4010210931301117,0.5337923169136047,33.108289328914495
learned · fourier→pinnmamba · joint baseline,2109,late,0.0,42,300049,0.0,0.0,0.8348245970194927,0.8348245970194927,0.0,0.8621980423291367,0.8621980423291367,0.0,0.8746214906617142,0.8746214906617142,0.0,1.4704570818916531,1.4704570818916531,0.0,0.18287768959999084,0.18287768959999084,0.0
