label,basin,period,training_noise,seed,inference_noise_seed,baseline_noise,inference_noise,clean_test_nse,noisy_test_nse,drift_test_nse,clean_validation_nse,noisy_validation_nse,drift_validation_nse,clean_test_kge,noisy_test_kge,drift_test_kge,clean_test_rmse_mm_day,noisy_test_rmse_mm_day,drift_test_rmse_mm_day,clean_physics_error,noisy_physics_error,drift_physics_error
learned · mlp · joint baseline,4009,late,0.0,42,300049,0.0,0.0,0.520450175426598,0.520450175426598,0.0,0.603534188043946,0.603534188043946,0.0,0.7417083036559928,0.7417083036559928,0.0,0.2365162527623538,0.2365162527623538,0.0,2.0570175647735596,2.0570175647735596,0.0
learned · mlp · joint baseline,4009,late,0.0,42,300049,0.0,0.1,0.520450175426598,0.5166782897113882,0.0037718857152098106,0.603534188043946,0.5919413549962903,0.011592833047655682,0.7417083036559928,0.7389767852557172,0.0027315184002756343,0.2365162527623538,0.2374445868725076,0.3925033055071166,2.0570175647735596,2.0644891262054443,0.3632230254050966
learned · mlp · joint baseline,4009,late,0.0,42,300049,0.0,0.25,0.520450175426598,0.48495020644152986,0.03549996898506813,0.603534188043946,0.5642587319425871,0.03927545610135885,0.7417083036559928,0.7211243445096354,0.020583959146357467,0.2365162527623538,0.24511434591507325,3.6353075326957,2.0570175647735596,2.083716869354248,1.297961915246338
learned · mlp · joint baseline,4008,late,0.0,42,300049,0.0,0.0,0.48507812055327004,0.48507812055327004,0.0,0.6566007750729035,0.6566007750729035,0.0,0.7115781216860306,0.7115781216860306,0.0,0.2534819768586747,0.2534819768586747,0.0,1.9049509763717651,1.9049509763717651,0.0
learned · mlp · joint baseline,4008,late,0.0,42,300049,0.0,0.1,0.48507812055327004,0.48445004628242516,0.0006280742708448805,0.6566007750729035,0.6520322023264344,0.004568572746469046,0.7115781216860306,0.7099856646907661,0.0015924569952645573,0.2534819768586747,0.25363652165093076,0.06096874979882181,1.9049509763717651,1.9140774011611938,0.4790897457535213
learned · mlp · joint baseline,4008,late,0.0,42,300049,0.0,0.25,0.48507812055327004,0.47597063924131566,0.00910748131195438,0.6566007750729035,0.6388914953583765,0.01770927971452696,0.7115781216860306,0.7082657172404256,0.0033124044456049884,0.2534819768586747,0.2557138334852776,0.8804794148529357,1.9049509763717651,1.925747036933899,1.0916848160440684
learned · mlp · joint baseline,2488,late,0.0,42,300049,0.0,0.0,0.3448269561600593,0.3448269561600593,0.0,0.5714709761218855,0.5714709761218855,0.0,0.572910689031007,0.572910689031007,0.0,0.8494411242113981,0.8494411242113981,0.0,0.33263227343559265,0.33263227343559265,0.0
learned · mlp · joint baseline,2488,late,0.0,42,300049,0.0,0.1,0.3448269561600593,0.34654651591539265,-0.001719559755333333,0.5714709761218855,0.5700253694531748,0.0014456066687106306,0.572910689031007,0.5776791822218683,-0.004768493190861367,0.8494411242113981,0.8483256750515901,-0.1313156530823191,0.33263227343559265,0.33984658122062683,2.168853824832208
learned · mlp · joint baseline,2488,late,0.0,42,300049,0.0,0.25,0.3448269561600593,0.3221825234924326,0.022644432667626724,0.5714709761218855,0.5518140217992802,0.01965695432260528,0.572910689031007,0.5867357744744821,-0.01382508544347516,0.8494411242113981,0.8639958442573754,1.7134465981370548,0.33263227343559265,0.3613400459289551,8.630483205028238
learned · mlp · joint baseline,2109,late,0.0,42,300049,0.0,0.0,0.902091115676149,0.902091115676149,0.0,0.8852821783204827,0.8852821783204827,0.0,0.9279989736250318,0.9279989736250318,0.0,1.132115448511503,1.132115448511503,0.0,0.15799206495285034,0.15799206495285034,0.0
